Valores de las variables nacimientos;;
Valor;C¢digo;Etiqueta
Departamento de registro;1;Guatemala
;2;El Progreso
;3;SacatepÇquez
;4;Chimaltenango
;5;Escuintla
;6;Santa Rosa
;7;Solol†
;8;Totonicap†n
;9;Quetzaltenango
;10;SuchitepÇquez
;11;Retalhuleu
;12;San Marcos
;13;Huehuetenango
;14;QuichÇ
;15;Baja Verapaz
;16;Alta Verapaz
;17;PetÇn
;18;Izabal
;19;Zacapa
;20;Chiquimula
;21;Jalapa
;22;Jutiapa
Municipio de registro;0101;Guatemala
;0102;Santa Catarina Pinula
;0103;San JosÇ Pinula
;0104;San JosÇ del Golfo
;0105;Palencia
;0106;Chinautla
;0107;San Pedro Ayampuc
;0108;Mixco
;0109;San Pedro SacatepÇquez
;0110;San Juan SacatepÇquez
;0111;San Raymundo
;0112;Chuarrancho
;0113;Fraijanes
;0114;Amatitl†n
;0115;Villa Nueva
;0116;Villa Canales
;0117;Petapa
;0201;Guastatoya
;0202;Moraz†n
;0203;San Agust°n Acasaguastl†n
;0204;San Crist¢bal Acasaguastl†n
;0205;El J°caro
;0206;Sansare
;0207;Sanarate
;0208;San Antonio la Paz
;0301;Antigua Guatemala
;0302;Jocotenango
;0303;Pastores
;0304;Sumpango
;0305;Santo Domingo Xenacoj
;0306;Santiago SacatepÇquez
;0307;San BartolomÇ Milpas Altas
;0308;San Lucas SacatepÇquez
;0309;Santa Luc°a Milpas Altas
;0310;Magdalena Milpas Altas
;0311;Santa Mar°a de Jes£s
;0312;Ciudad Vieja
;0313;San Miguel Due§as
;0314;Alotenango
;0315;San Antonio Aguas Calientes
;0316;Santa Catarina Barahona
;0401;Chimaltenango
;0402;San JosÇ Poaquil
;0403;San Mart°n Jilotepeque
;0404;Comalapa
;0405;Santa Apolonia
;0406;Tecp†n Guatemala
;0407;Patz£n
;0408;Pochuta
;0409;Patzic°a
;0410;Santa Cruz Balany†
;0411;Acatenango
;0412;Yepocapa
;0413;San AndrÇs Itzapa
;0414;Parramos
;0415;Zaragoza
;0416;El Tejar
;0501;Escuintla
;0502;Santa Luc°a Cotzumalguapa
;0503;La Democracia
;0504;Siquinal†
;0505;Masagua
;0506;Tiquisate
